loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon
1018627,218627,35000.0,5,29.139,1058.1,F,政府机构,住宿和餐饮业,1 year,1,2,2016/8/1,0,115,8,20.83636364,0,572.7272727,668.1818182,10,0,0.0,65401.15385,85.73076923,0,0,Feb-97,2,1,8.0,0.0,6.0,13.0,7.0,4,15729,3145.8
1041636,241636,11286.36364,3,20.405,347.9,E,政府机构,电力、热力生产供应业,7 years,2,2,2015/9/1,0,116,14,24.35727273,0,627.2727273,731.8181818,10,0,0.0,16660.0,77.30769231,1,0,May-99,0,1,6.0,0.0,7.0,6.0,6.0,0,0,0.0
1047652,247652,11818.18182,3,5.616,396.91,A,政府机构,信息传输、软件和信息技术服务业,10+ years,2,1,2015/11/1,4,33,22,15.07,0,659.0909091,714.0151515,9,0,0.0,28833.46154,69.0,0,0,Apr-00,4,1,5.0,0.0,6.0,19.0,13.0,0,0,0.0
1005732,205732,17454.54545,5,11.151,359.08,C,普通企业,交通运输、仓储和邮政业,7 years,0,0,2014/11/1,0,247,32,10.1,0,564.5454545,658.6363636,10,1,1.0,6631.384615,24.55384615,0,0,Oct-94,0,1,4.0,0.0,7.0,6.0,5.0,0,0,0.0
1032731,232731,1636.363636,3,10.923,58.03,B,上市企业,批发和零售业,6 years,1,1,2017/9/1,4,72,10,15.52727273,0,741.8181818,803.6363636,15,1,1.0,12094.92308,25.2,0,0,3-Jun,4,1,11.0,0.0,6.0,17.0,8.0,0,0,0.0
1017250,217250,14727.27273,3,7.362,565.56,B,普通企业,住宿和餐饮业,10+ years,0,2,2015/2/1,4,38,21,20.9,0,675.0,843.75,19,0,0.0,18682.15385,71.88461538,0,0,2-May,4,1,11.0,0.0,10.0,14.0,7.0,0,0,0.0
1005343,205343,17272.72727,3,10.087,605.7,B,政府机构,住宿和餐饮业,5 years,1,1,2015/6/1,4,48,10,20.82545455,1,660.0,715.0,8,0,0.0,17495.69231,67.30769231,1,0,10-Jul,4,1,5.0,0.0,3.0,7.0,5.0,2,4667,933.4
1016312,216312,33090.90909,3,20.5,1047.73,E,普通企业,住宿和餐饮业,7 years,1,2,2016/2/1,4,251,8,20.63636364,0,720.0,780.0,18,0,0.0,25951.69231,92.3,0,0,1-Oct,4,1,11.0,0.0,20.0,21.0,8.0,0,7764,1552.8
1049648,249648,27272.72727,5,17.919,611.82,D,幼教与中小学校,金融业,3 years,1,1,2014/6/1,0,498,32,13.06909091,0,544.0909091,680.1136364,5,0,0.0,30475.38462,103.2692308,0,0,Jan-00,0,1,5.0,0.0,6.0,12.0,7.0,5,9901,0.0
1039525,239525,28000.0,3,5.616,854.87,A,普通企业,金融业,10+ years,0,0,2015/11/1,4,13,10,16.69090909,0,677.2727273,846.5909091,8,0,0.0,30490.92308,65.90769231,0,0,Apr-83,4,1,5.0,0.0,1.0,20.0,14.0,0,0,0.0
1000615,200615,28000.0,3,6.99,864.44,A,高等教育机构,金融业,1 year,0,0,2016/1/1,3,162,2,7.674545455,0,856.3636364,1070.454545,12,0,0.0,2523.0,2.953846154,0,0,4-Nov,3,1,3.0,0.0,19.0,13.0,7.0,0,0,0.0
1001211,201211,5454.545455,3,10.989,161.32,B,普通企业,农、林、牧、渔业,6 years,1,0,2015/7/1,4,17,13,22.63636364,1,670.0,725.8333333,23,0,0.0,16756.15385,77.75384615,0,0,Aug-98,4,1,11.0,0.0,14.0,21.0,11.0,3,1510,151.0
1011958,211958,16363.63636,5,26.06,599.53,G,政府机构,金融业,4 years,0,1,2015/1/1,0,77,7,10.73454545,0,556.3636364,649.0909091,16,0,0.0,9213.0,47.49230769,1,0,Nov-97,0,1,12.0,0.0,21.0,17.0,6.0,0,0,0.0
1035359,235359,30000.0,5,16.695,781.17,E,世界五百强,国际组织,10+ years,2,2,2015/7/1,0,400,17,21.22363636,2,556.3636364,649.0909091,9,0,0.0,27580.38462,63.23076923,1,0,Nov-94,0,1,4.0,0.0,12.0,11.0,7.0,5,822,246.6
1034590,234590,30343.18182,3,9.675,837.54,B,政府机构,建筑业,< 1 year,1,0,2016/3/1,0,476,5,30.00272727,0,818.1818182,886.3636364,12,0,0.0,29575.38462,34.38461538,0,0,Jun-75,0,1,4.0,0.0,6.0,13.0,9.0,3,7726,2317.8
1012786,212786,24545.45455,3,4.779,903.31,A,上市企业,采矿业,9 years,1,0,2018/5/1,1,404,22,13.5,0,830.0,899.1666667,9,0,0.0,843.2307692,2.1,0,1,2-Sep,1,1,1.0,0.0,14.0,12.0,6.0,3,9150,2745.0
1027248,227248,22727.27273,3,16.02,879.18,C,幼教与中小学校,金融业,6 years,0,1,2017/8/1,0,473,8,19.10181818,0,725.4545455,785.9090909,21,0,0.0,31317.69231,64.96153846,0,0,1-Jul,0,1,11.0,0.0,13.0,19.0,13.0,3,8672,867.2
1032817,232817,17454.54545,3,8.991,516.2,B,普通企业,信息传输、软件和信息技术服务业,10+ years,1,1,2015/5/1,0,466,36,13.68,0,705.0,881.25,7,0,0.0,11934.0,104.3076923,0,0,Mar-87,0,1,5.0,0.0,5.0,8.0,4.0,2,7604,760.4
1031848,231848,20000.0,5,15.291,546.64,D,普通企业,批发和零售业,< 1 year,0,1,2015/4/1,4,467,5,30.24545455,1,675.0,731.25,13,0,0.0,19329.23077,68.06153846,1,0,May-92,4,1,8.0,0.0,12.0,14.0,3.0,4,1116,0.0
1018530,218530,19636.36364,5,8.541,503.93,B,普通企业,农、林、牧、渔业,5 years,0,1,2016/10/1,0,161,14,14.42,0,770.0,898.3333333,26,0,0.0,3851.076923,4.5,1,0,Apr-00,0,1,6.0,0.0,8.0,28.0,15.0,0,0,0.0
